ID,Product_Type,HTS,Company,Address,City,State,ZIP,Percent,Total_Amount,Quantity_1,Quantity_2,Quantity_3,Quantity_4,Quantity_5,Origin_1,Origin_2,Origin_3,Origin_4,Origin_5,Exporter_1,Exporter_2,Exporter_3,Exporter_4,Exporter_5,District,Abbreviation,Code,Approved,Denied_Incomplete,Denied_Country,Denied_Production,Pending,Denied,Posted_Date,Received_Date,Total_Exclusions,Total_Approved,Total_Denied,Total_Pending,Objections,Total_Objections,Total_Firms
BIS-2018-0002-1816,Sheet,7606122090,Silgan Containers Manufacturing Corporation,"21600 Oxnard Street, Suite 1600",Woodland Hills,California,91367,0,1100000,1100000,-999,-999,-999,-999,Greece,N/A,N/A,N/A,N/A,Greece,N/A,N/A,N/A,N/A,30,CA,CA-30,0,1,0,0,0,1,6/11/18,6/5/18,10,0,3,7,1,10,1
BIS-2018-0002-1817,Sheet,7606123090,"Constellium-UACJ ABS, LLC",714 Commonwealth Blvd,Bowling Green,Kentucky,42101,1,1171000,1171000,-999,-999,-999,-999,France,N/A,N/A,N/A,N/A,Netherlands,N/A,N/A,N/A,N/A,02,KY,KY-02,1,0,0,0,0,0,6/11/18,6/5/18,34,33,0,1,1,34,1
BIS-2018-0002-1818,Sheet,7606123090,"Constellium-UACJ ABS, LLC",714 Commonwealth Blvd,Bowling Green,Kentucky,42101,1,1843000,1843000,-999,-999,-999,-999,France,N/A,N/A,N/A,N/A,Netherlands,N/A,N/A,N/A,N/A,02,KY,KY-02,0,0,0,0,1,0,6/11/18,6/5/18,34,33,0,1,1,34,1
BIS-2018-0002-1820,Sheet,7606123090,"Constellium-UACJ ABS, LLC",714 Commonwealth Blvd,Bowling Green,Kentucky,42101,1,275000,275000,-999,-999,-999,-999,France,N/A,N/A,N/A,N/A,Netherlands,N/A,N/A,N/A,N/A,02,KY,KY-02,1,0,0,0,0,0,6/11/18,6/5/18,34,33,0,1,1,34,1
BIS-2018-0002-1821,Sheet,7606123090,"Constellium-UACJ ABS, LLC",714 Commonwealth Blvd,Bowling Green,Kentucky,42101,1,118000,118000,-999,-999,-999,-999,France,N/A,N/A,N/A,N/A,Netherlands,N/A,N/A,N/A,N/A,02,KY,KY-02,1,0,0,0,0,0,6/11/18,6/5/18,34,33,0,1,1,34,1
BIS-2018-0002-1822,Sheet,7606123090,"Constellium-UACJ ABS, LLC",714 Commonwealth Blvd,Bowling Green,Kentucky,42101,1,813000,813000,-999,-999,-999,-999,France,N/A,N/A,N/A,N/A,Netherlands,N/A,N/A,N/A,N/A,02,KY,KY-02,1,0,0,0,0,0,6/11/18,6/5/18,34,33,0,1,1,34,1
BIS-2018-0002-1823,Sheet,7606123090,"Constellium-UACJ ABS, LLC",714 Commonwealth Blvd,Bowling Green,Kentucky,42101,1,1048000,1048000,-999,-999,-999,-999,France,N/A,N/A,N/A,N/A,Netherlands,N/A,N/A,N/A,N/A,02,KY,KY-02,1,0,0,0,0,0,6/11/18,6/5/18,34,33,0,1,1,34,1
BIS-2018-0002-1824,Sheet,7606123090,"Constellium-UACJ ABS, LLC",714 Commonwealth Blvd,Bowling Green,Kentucky,42101,1,188000,188000,-999,-999,-999,-999,France,N/A,N/A,N/A,N/A,Netherlands,N/A,N/A,N/A,N/A,02,KY,KY-02,1,0,0,0,0,0,6/11/18,6/5/18,34,33,0,1,1,34,1
BIS-2018-0002-1825,Sheet,7606123090,"Constellium-UACJ ABS, LLC",714 Commonwealth Blvd,Bowling Green,Kentucky,42101,1,1091000,1091000,-999,-999,-999,-999,France,N/A,N/A,N/A,N/A,Netherlands,N/A,N/A,N/A,N/A,02,KY,KY-02,1,0,0,0,0,0,6/11/18,6/5/18,34,33,0,1,1,34,1
BIS-2018-0002-1827,Sheet,7606123090,"Constellium-UACJ ABS, LLC",714 Commonwealth Blvd,Bowling Green,Kentucky,42101,1,655000,655000,-999,-999,-999,-999,France,N/A,N/A,N/A,N/A,Netherlands,N/A,N/A,N/A,N/A,02,KY,KY-02,1,0,0,0,0,0,6/11/18,6/5/18,34,33,0,1,1,34,1
